Size of N=20:
0,00000000000000000000	2432	76
0,00000000000000000000	2432	76
0,00000000000000000000	2432	76
0,00000000000000000000	2432	76
0,00000000000000000000	2432	76
0,00000000000000000000	2432	76
0,00000000000000000000	2432	76
0,00000000000000000000	2432	76
-0,00000100000000000000	2432	76
0,00000000000000000000	2432	76

Size of N=200:
0,00000000000000000000	25472	796
0,00000000000000000000	25472	796
0,00000000000000000000	25472	796
0,00000000000000000000	25472	796
0,00000000000000000000	25472	796
0,00000000000000000000	25472	796
0,00000000000000000000	25472	796
0,00000000000000000000	25472	796
0,00000000000000000000	25472	796
0,00000000000000000000	25472	796

Size of N=1000:
0,00000000000000000000	127872	3996
0,00000000000000000000	127872	3996
0,00000000000000000000	127872	3996
0,00000000000000000000	127872	3996
0,00000000000000000000	127872	3996
0,00000000000000000000	127872	3996
0,00000000000000000000	127872	3996
0,00000000000000000000	127872	3996
0,00000000000000000000	127872	3996
0,00000000000000000000	127872	3996

Size of N=10000:
0,00000000000000000000	1279872	39996
0,00000000000000000000	1279872	39996
0,00000000000000000000	1279872	39996
0,00000000000000000000	1279872	39996
0,00000000000000000000	1279872	39996
0,00000000000000000000	1279872	39996
0,00000000000000000000	1279872	39996
0,00000000000000000000	1279872	39996
0,00000000000000000000	1279872	39996
0,00000000000000000000	1279872	39996

Size of N=100000:
0,00000000000000000000	12799872	399996
0,00000000000000000000	12799872	399996
0,00000000000000000000	12799872	399996
0,00000000000000000000	12799872	399996
0,00000000000000000000	12799872	399996
0,00000000000000000000	12799872	399996
0,00000000000000000000	12799872	399996
0,00000000000000000000	12799872	399996
0,00000000000000000000	12799872	399996
0,00000000000000000000	12799872	399996

Size of N=1000000:
0,00000000000000000000	127999872	3999996
0,00000000000000000000	127999872	3999996
0,00000000000000000000	127999872	3999996
0,00000000000000000000	127999872	3999996
0,00000000000000000000	127999872	3999996
0,00000100000000000000	127999872	3999996
0,00000000000000000000	127999872	3999996
0,00000000000000000000	127999872	3999996
0,00000000000000000000	127999872	3999996
0,00000000000000000000	127999872	3999996
