Size of N=20: 
0.42021299999999994768	2432	76
0.39846999999999999087	2432	76
0.39003799999999999581	2432	76
0.39637899999999998135	2432	76
0.39749299999999998523	2432	76
0.40083100000000004837	2432	76
0.41438200000000002809	2432	76
0.40080099999999996285	2432	76
0.39615800000000001013	2432	76
0.39326800000000000646	2432	76

Size of N=200: 
0.42770200000000002660	25472	796
0.40604800000000002003	25472	796
0.40793599999999996530	25472	796
0.40706799999999998541	25472	796
0.40961900000000001087	25472	796
0.39711899999999999977	25472	796
0.40791199999999999681	25472	796
0.42093000000000002636	25472	796
0.40526300000000003987	25472	796
0.41498199999999996201	25472	796

Size of N=1000: 
1.99747600000000002929	127872	3996
2.01555200000000001026	127872	3996
2.03249700000000022015	127872	3996
2.03737000000000012534	127872	3996
2.07469100000000006290	127872	3996
2.02160399999999995657	127872	3996
2.02120800000000011565	127872	3996
2.08263800000000021129	127872	3996
2.03459099999999981634	127872	3996
2.03083899999999983876	127872	3996

Size of N=10000: 
2.00732199999999982865	1279872	39996
1.99451399999999989809	1279872	39996
2.03917500000000018190	1279872	39996
1.99189600000000011093	1279872	39996
2.07172100000000014575	1279872	39996
1.99788800000000010826	1279872	39996
2.00006500000000020378	1279872	39996
1.99777599999999999625	1279872	39996
1.99964499999999989477	1279872	39996
2.11139199999999993551	1279872	39996

Size of N=100000: 
2.00675999999999987722	12799872	399996
2.03858099999999975438	12799872	399996
2.01424300000000000566	12799872	399996
2.00284599999999990416	12799872	399996
2.01458700000000012764	12799872	399996
2.03514000000000017110	12799872	399996
2.01718099999999989080	12799872	399996
2.01029800000000014037	12799872	399996
1.99155900000000007921	12799872	399996
2.01086900000000001754	12799872	399996

Size of N=1000000: 
2.00749500000000002942	127999872	3999996
1.99228300000000002612	127999872	3999996
2.02805400000000002336	127999872	3999996
2.02274000000000020449	127999872	3999996
1.97368499999999991168	127999872	3999996
1.99920100000000000584	127999872	3999996
1.98093399999999997263	127999872	3999996
1.97792600000000007299	127999872	3999996
1.99166500000000001869	127999872	3999996
2.01454600000000016990	127999872	3999996

