Size of N=20:
0,43433199999999999585	2432	76
0,42650199999999999223	2432	76
0,41738599999999997925	2432	76
0,42147299999999998654	2432	76
0,43108500000000005148	2432	76
0,42140599999999994729	2432	76
0,43552400000000002223	2432	76
0,42662699999999997846	2432	76
0,42259600000000002717	2432	76
0,43120000000000002771	2432	76

Size of N=200:
0,41805999999999998717	25472	796
0,42426000000000002599	25472	796
0,42666999999999999371	25472	796
0,41672100000000000808	25472	796
0,41639900000000001912	25472	796
0,41687299999999999356	25472	796
0,42216500000000001247	25472	796
0,41929899999999997728	25472	796
0,42698000000000002618	25472	796
0,42090199999999999836	25472	796

Size of N=1000:
2,01250300000000015288	127872	3996
2,02889300000000005753	127872	3996
2,07976200000000011059	127872	3996
2,03412399999999982114	127872	3996
2,04390399999999994307	127872	3996
2,02888400000000013179	127872	3996
2,07166000000000005699	127872	3996
2,04638600000000003831	127872	3996
2,07143100000000002225	127872	3996
2,02728000000000019298	127872	3996

Size of N=10000:
2,03108599999999972496	1279872	39996
2,04097000000000017295	1279872	39996
2,05380200000000012750	1279872	39996
2,03561099999999983723	1279872	39996
2,15293899999999993611	1279872	39996
2,04778999999999999915	1279872	39996
2,03111199999999980648	1279872	39996
2,03540499999999990877	1279872	39996
2,02575100000000007938	1279872	39996
2,04741799999999996018	1279872	39996

Size of N=100000:
2,02604300000000003834	12799872	399996
2,03565199999999979497	12799872	399996
2,02742500000000003268	12799872	399996
2,08171699999999981756	12799872	399996
2,14453000000000004732	12799872	399996
2,08151900000000011914	12799872	399996
2,08421399999999978903	12799872	399996
2,08342099999999996740	12799872	399996
2,03754699999999999704	12799872	399996
2,01208099999999978635	12799872	399996

Size of N=1000000:
2,09473699999999984911	127999872	3999996
2,06983499999999986940	127999872	3999996
2,10067000000000003723	127999872	3999996
2,01668199999999986360	127999872	3999996
2,11291800000000007387	127999872	3999996
2,07927900000000009939	127999872	3999996
2,04268500000000008399	127999872	3999996
2,00634999999999985576	127999872	3999996
2,02534400000000003317	127999872	3999996
2,04115000000000001990	127999872	3999996
